episode=186, mum of sent packets=4571, num of received packets=3573, num of lost packets=995, PDR=78.17, actual sim duration=0.29
episode=187, mum of sent packets=4517, num of received packets=3550, num of lost packets=965, PDR=78.59, actual sim duration=0.28
episode=188, mum of sent packets=4606, num of received packets=3613, num of lost packets=986, PDR=78.44, actual sim duration=0.29
episode=189, mum of sent packets=4559, num of received packets=3590, num of lost packets=967, PDR=78.75, actual sim duration=0.29
episode=190, mum of sent packets=4528, num of received packets=3592, num of lost packets=934, PDR=79.33, actual sim duration=0.28
episode=191, mum of sent packets=4591, num of received packets=3619, num of lost packets=967, PDR=78.83, actual sim duration=0.29
episode=192, mum of sent packets=4680, num of received packets=3633, num of lost packets=1042, PDR=77.63, actual sim duration=0.30
episode=193, mum of sent packets=4557, num of received packets=3550, num of lost packets=1002, PDR=77.90, actual sim duration=0.29
episode=194, mum of sent packets=4433, num of received packets=3508, num of lost packets=920, PDR=79.13, actual sim duration=0.29
episode=195, mum of sent packets=4421, num of received packets=3506, num of lost packets=909, PDR=79.30, actual sim duration=0.27
episode=196, mum of sent packets=4469, num of received packets=3494, num of lost packets=969, PDR=78.18, actual sim duration=0.29
episode=197, mum of sent packets=4581, num of received packets=3582, num of lost packets=994, PDR=78.19, actual sim duration=0.29
episode=198, mum of sent packets=4497, num of received packets=3567, num of lost packets=926, PDR=79.32, actual sim duration=1.01
episode=199, mum of sent packets=4629, num of received packets=3618, num of lost packets=1009, PDR=78.16, actual sim duration=0.30
episode=200, mum of sent packets=4558, num of received packets=3577, num of lost packets=977, PDR=78.48, actual sim duration=0.29
episode=201, mum of sent packets=4628, num of received packets=3623, num of lost packets=1002, PDR=78.28, actual sim duration=0.29
episode=202, mum of sent packets=4577, num of received packets=3578, num of lost packets=997, PDR=78.17, actual sim duration=0.28
episode=203, mum of sent packets=4550, num of received packets=3550, num of lost packets=994, PDR=78.02, actual sim duration=0.29
episode=204, mum of sent packets=4611, num of received packets=3619, num of lost packets=988, PDR=78.49, actual sim duration=0.29
