episode=187, mum of sent packets=14071, num of received packets=8980, num of lost packets=5086, PDR=63.82, actual sim duration=1.23
episode=188, mum of sent packets=13978, num of received packets=8779, num of lost packets=5193, PDR=62.81, actual sim duration=1.21
episode=189, mum of sent packets=13957, num of received packets=8825, num of lost packets=5127, PDR=63.23, actual sim duration=1.22
episode=190, mum of sent packets=13851, num of received packets=8735, num of lost packets=5114, PDR=63.06, actual sim duration=1.22
episode=191, mum of sent packets=13867, num of received packets=8994, num of lost packets=4869, PDR=64.86, actual sim duration=1.21
episode=192, mum of sent packets=14138, num of received packets=8941, num of lost packets=5190, PDR=63.24, actual sim duration=1.23
episode=193, mum of sent packets=13845, num of received packets=8725, num of lost packets=5118, PDR=63.02, actual sim duration=1.22
episode=194, mum of sent packets=14017, num of received packets=8870, num of lost packets=5143, PDR=63.28, actual sim duration=1.23
episode=195, mum of sent packets=13833, num of received packets=8729, num of lost packets=5099, PDR=63.10, actual sim duration=1.21
episode=196, mum of sent packets=13823, num of received packets=8812, num of lost packets=5008, PDR=63.75, actual sim duration=1.20
episode=197, mum of sent packets=13918, num of received packets=8887, num of lost packets=5028, PDR=63.85, actual sim duration=1.22
episode=198, mum of sent packets=14009, num of received packets=8828, num of lost packets=5174, PDR=63.02, actual sim duration=1.23
episode=199, mum of sent packets=13852, num of received packets=8793, num of lost packets=5055, PDR=63.48, actual sim duration=1.22
episode=200, mum of sent packets=14056, num of received packets=8861, num of lost packets=5193, PDR=63.04, actual sim duration=1.23
episode=201, mum of sent packets=13792, num of received packets=8769, num of lost packets=5018, PDR=63.58, actual sim duration=1.21
episode=202, mum of sent packets=13848, num of received packets=8850, num of lost packets=4997, PDR=63.91, actual sim duration=1.22
episode=203, mum of sent packets=13647, num of received packets=8737, num of lost packets=4904, PDR=64.02, actual sim duration=1.20
episode=204, mum of sent packets=13780, num of received packets=8631, num of lost packets=5142, PDR=62.63, actual sim duration=1.22
episode=205, mum of sent packets=13920, num of received packets=8806, num of lost packets=5112, PDR=63.26, actual sim duration=1.23
episode=206, mum of sent packets=13936, num of received packets=8855, num of lost packets=5077, PDR=63.54, actual sim duration=1.24
episode=207, mum of sent packets=13837, num of received packets=8793, num of lost packets=5037, PDR=63.55, actual sim duration=1.22
episode=208, mum of sent packets=14032, num of received packets=9045, num of lost packets=4984, PDR=64.46, actual sim duration=1.23
episode=209, mum of sent packets=13994, num of received packets=8904, num of lost packets=5085, PDR=63.63, actual sim duration=1.25
episode=210, mum of sent packets=13907, num of received packets=8814, num of lost packets=5086, PDR=63.38, actual sim duration=1.24
episode=211, mum of sent packets=14039, num of received packets=8831, num of lost packets=5202, PDR=62.90, actual sim duration=1.23
episode=212, mum of sent packets=13839, num of received packets=8841, num of lost packets=4994, PDR=63.88, actual sim duration=1.21
episode=213, mum of sent packets=13887, num of received packets=8878, num of lost packets=5005, PDR=63.93, actual sim duration=1.22
episode=214, mum of sent packets=13994, num of received packets=8803, num of lost packets=5189, PDR=62.91, actual sim duration=1.24
episode=215, mum of sent packets=13814, num of received packets=8841, num of lost packets=4971, PDR=64.00, actual sim duration=1.26
episode=216, mum of sent packets=14030, num of received packets=8753, num of lost packets=5269, PDR=62.39, actual sim duration=3.68
