episode=195, mum of sent packets=14226, num of received packets=9809, num of lost packets=4417, PDR=68.95, actual sim duration=1.02, parameter update time=0.00
episode=196, mum of sent packets=14352, num of received packets=9899, num of lost packets=4451, PDR=68.97, actual sim duration=1.03, parameter update time=0.00
episode=197, mum of sent packets=14454, num of received packets=10002, num of lost packets=4452, PDR=69.20, actual sim duration=1.04, parameter update time=0.00
episode=198, mum of sent packets=14404, num of received packets=9845, num of lost packets=4558, PDR=68.35, actual sim duration=1.03, parameter update time=0.00
episode=199, mum of sent packets=14146, num of received packets=9870, num of lost packets=4275, PDR=69.77, actual sim duration=1.02, parameter update time=0.00
episode=200, mum of sent packets=14259, num of received packets=9859, num of lost packets=4396, PDR=69.14, actual sim duration=1.03, parameter update time=0.00
episode=201, mum of sent packets=14193, num of received packets=9743, num of lost packets=4447, PDR=68.65, actual sim duration=1.02, parameter update time=0.00
episode=202, mum of sent packets=14283, num of received packets=9786, num of lost packets=4493, PDR=68.52, actual sim duration=1.03, parameter update time=0.00
episode=203, mum of sent packets=14124, num of received packets=9809, num of lost packets=4315, PDR=69.45, actual sim duration=1.02, parameter update time=0.00
episode=204, mum of sent packets=14195, num of received packets=9767, num of lost packets=4427, PDR=68.81, actual sim duration=1.02, parameter update time=0.00
episode=205, mum of sent packets=14293, num of received packets=9866, num of lost packets=4423, PDR=69.03, actual sim duration=1.03, parameter update time=0.00
episode=206, mum of sent packets=14476, num of received packets=9935, num of lost packets=4541, PDR=68.63, actual sim duration=1.04, parameter update time=0.00
episode=207, mum of sent packets=14292, num of received packets=9901, num of lost packets=4391, PDR=69.28, actual sim duration=1.03, parameter update time=0.00
episode=208, mum of sent packets=14138, num of received packets=9765, num of lost packets=4369, PDR=69.07, actual sim duration=1.01, parameter update time=0.00
episode=209, mum of sent packets=14277, num of received packets=9873, num of lost packets=4403, PDR=69.15, actual sim duration=1.03, parameter update time=0.00
episode=210, mum of sent packets=14195, num of received packets=9695, num of lost packets=4497, PDR=68.30, actual sim duration=1.02, parameter update time=0.00
episode=211, mum of sent packets=14393, num of received packets=9982, num of lost packets=4405, PDR=69.35, actual sim duration=3.21, parameter update time=0.00
episode=212, mum of sent packets=14365, num of received packets=9844, num of lost packets=4516, PDR=68.53, actual sim duration=1.03, parameter update time=0.00
episode=213, mum of sent packets=14382, num of received packets=9856, num of lost packets=4525, PDR=68.53, actual sim duration=1.03, parameter update time=0.00
episode=214, mum of sent packets=14313, num of received packets=9851, num of lost packets=4460, PDR=68.83, actual sim duration=1.03, parameter update time=0.00
episode=215, mum of sent packets=14271, num of received packets=9844, num of lost packets=4424, PDR=68.98, actual sim duration=1.02, parameter update time=0.00
episode=216, mum of sent packets=14354, num of received packets=9906, num of lost packets=4446, PDR=69.01, actual sim duration=1.04, parameter update time=0.00
episode=217, mum of sent packets=14212, num of received packets=9857, num of lost packets=4354, PDR=69.36, actual sim duration=1.03, parameter update time=0.00
